Ski Area,State,Website,Year Opened,googID,lat,long
Ober Gatlinburg Ski Area,TN,www.obergatlinburg.com,1962,ChIJUb6IAQNVWYgR-9G1z0ppiOM,35.70243,-83.55815
Powder Ridge Ski Area,MN,www.powderridge.com,1962,ChIJnZdYMBjL54kRrPIhPrTYqA0,45.34361,-94.30522
Ski Land,AK,www.skilandfairbanks.com,1962,ChIJ08O6eLs5MlER5xxHPQDP30A,65.04588,-147.40948
Stratton,VT,www.stratton.com,1962,ChIJwcI2qQVY4IkRPgavnHe8ZK0,43.11342,-72.90814
Vail Mountain,CO,www.vail.com,1962,ChIJ29swxmBwaocRoq1FSy3Pwqc,39.60614,-106.35497
Wachusett Mountain Ski Area,MA,www.wachusett.com,1962,ChIJwWdFQDnj44kRkbhgB7-FnWI,42.50218,-71.88616
Afton Alps Ski Area,MN,www.aftonalps.com,1963,ChIJ7eyXVVHB94cRCgKdptJ7eb8,44.85766,-92.78781
Alpine Valley Resort,WI,www.alpinevalleyresort.com,1963,ChIJOcv21EySBYgRRUq9ieR9A84,42.73582,-88.42805
Arrowhead Recreation Area,NH,www.arrowheadnh.com,1963,ChIJkR4ro9fB4YkRGEPJrgtUuik,43.36328,-72.33309
Blue Knob,PA,www.blueknob.com,1963,ChIJXwnRaXijy4kRAngWuPK4x3k,40.2886,-78.56405
Boston Mills/Brandywine Ski Resort,OH,www.bmbw.com,1963,ChIJb5b8UEzeMIgRkRdkg8lxNdo,41.26483,-81.56438
Boyne Highlands Resort,MI,www.boynehighlands.com,1963,ChIJIdFIukeHSk0R1ANGoqXkdLY,45.46472,-84.92654
Camelback Resort,PA,www.skicamelback.com,1963,ChIJ7Zla6KT0xIkRsx9OB8IC2Xw,41.04923,-75.35119
Elk Ridge Ski & Outdoor Recreation Area,AZ,www.elkridgeski.com,1963,ChIJzdIEEHSHLYcRZ8G1XmEnbk0,35.21517,-112.193
June Mountain,CA,www.junemountain.com,1963,ChIJ4wNzK01qloARLb8tNWAzFq0,37.76792,-119.09063
Lee Canyon,NV,www.leecanyonlv.com,1963,ChIJq3iP5W3qyIARZ2kG9UMDr0M,36.3037,-115.67963
Meadowlark Ski Lodge,WY,www.lodgesofthebighorns.com,1963,ChIJg-Ydu-28YIcR445FjPaC9t0,44.17375,-107.21473
Park City Mountain Resort,UT,www.parkcitymountain.com,1963,ChIJ3-VdWJxyUocRr-MVIgU4Sfs,40.65886,-111.54685
Pats Peak,NH,www.patspeak.com,1963,ChIJsQtgYmUj4okR2D2Pehem2l0,43.16397,-71.79766
Pomerelle Mountain Resort,ID,www.pomerelle.com,1963,ChIJD1j7nm2KqoARHY1maR83S6c,42.31799,-113.60775
Schweitzer,ID,www.schweitzer.com,1963,ChIJh1bKvDPOY1MR7q4B15auOGs,48.37603,-116.61713
Shanty Creek Resort,MI,www.shantycreek.com,1963,ChIJ84_8RbqzSk0RcdSH1loZomw,44.94639,-85.13972
Ski Butternut,MA,www.skibutternut.com,1963,ChIJrR7E_5pn54kRPOM8QmNOkvU,42.18366,-73.32013
Ski Cloudcroft,NM,www.skicloudcroft.net,1963,ChIJBXTobOut4YYRaYeWu-kJQ38,32.95081,-105.70728
Steamboat Ski & Resort,CO,www.steamboat.com,1963,ChIJXXSu2LhuQocRI58fmBc30yI,40.4538,-106.77088
Attitash Mountain Resort,NH,www.attitash.com,1964,ChIJdwFFHP2es0wRXFbhaRumWp4,44.08277,-71.22944
Big Powderhorn Mountain Resort,MI,www.bigpowderhorn.net,1964,ChIJv06kU1rnqVIRZ7Cx0jb5ryg,46.50904,-90.09571
Boreal Mountain Resort,CA,www.rideboreal.com,1964,ChIJ04R9eIDom4ARO3QdRZT2fwE,39.33605,-120.3505
Bristol Mountain Resort,NY,www.bristolmountain.com,1964,ChIJXyC-kA8X0YkRzLRvV6PHEc8,42.74529,-77.40431
Crystal Mountain Resort,WA,www.crystalmountainresort.com,1964,ChIJSRqp_M25kFQRaYYhply2ZxM,46.9353,-121.47475
Hawksnest Snow Tubing,NC,hawksnesttubing.com,1964,ChIJgfdSvNu_UIgRvbZW0GHxvtk,35.98284,-81.89544
Maple Ski Ridge,NY,www.mapleskiridge.com,1964,ChIJpevRmlVl3okRd2XNk-KW_CQ,42.81707,-74.03231
Mount Southington Ski Area,CT,www.mountsouthington.com,1964,ChIJOZT_cHO454kRFYbpaN0vRoU,41.58254,-72.92485
Mt. Ashland,OR,www.mtashland.com,1964,ChIJzVYFSdUJz1QRe3tUMUytLzQ,42.08168,-122.70475
Mt. Rose - Ski Tahoe,NV,www.skirose.com,1964,ChIJX2yvUZxumYARnXMY9Q1xFhw,39.31514,-119.88244
Nashoba Valley Ski Area,MA,www.skinashoba.com,1964,ChIJFaQmI0WW44kRv3_NK5cH7y4,42.54258,-71.44487
Peek'n Peak Resort,NY,www.pknpk.com,1964,ChIJ4UGpFiagMogR_EZY0gu9LFM,42.06233,-79.73554
Ragged Mountain Resort,NH,www.raggedmountainresort.com,1964,ChIJtZTbOSQH4okRkRnAR8N_udc,43.48547,-71.84229
Roundtop Mountain Resort,PA,www.skiroundtop.com,1964,ChIJebcZSJnuyIkRZ3ZQOeG7E_c,40.10945,-76.92755
Whitecap Mountains Resort,WI,www.whitecapresort.com,1964,ChIJjwarDn2RqVIR0K8CoXOyNTE,46.40694,-90.39698
Woods Valley Ski Area,NY,www.woodsvalleyskiarea.com,1964,ChIJb0Rk4oIX2YkRGLH_qPWpW1U,43.30206,-75.38245
Boyce Park Ski & Tubing Area,PA,www.alleghenycounty.us/parks,1965,ChIJz1Lx7H3qNIgRg8FLQc0W5zU,40.46152,-79.74686
Brian Head Resort,UT,www.brianhead.com,1965,ChIJczdyMIOnyoAR1pyfG4riGj8,37.70211,-112.84998
Bryce Resort,VA,www.bryceresort.com,1965,ChIJnx_m5TQCtYkRS1i4G0CHM60,38.81746,-78.76569
Cannonsburg Ski Area,MI,www.cannonsburg.com,1965,ChIJm1pG5mdWGIgRSkghbVSTq40,43.05411,-85.50125
Lake City Ski Hill,CO,www.lakecityskihill.com,1965,ChIJSXvfoun_PocR__TYG2jn95g,38.01078,-107.31166
Liberty Mountain Resort,PA,www.libertymountainresort.com,1965,ChIJQQ0rSgqwyYkRfDKpYAfLHus,39.76366,-77.37546
Mountain Creek Resort,NJ,www.mountaincreek.com,1965,ChIJkfn6mQU-w4kRlUetCw30Lh4,41.19213,-74.5023
Purgatory Resort,CO,www.purgatoryresort.com,1965,ChIJhUWJTqACPIcROrGAcFJkKYI,37.62768,-107.83761
"Welch Village Ski Area, Inc.",MN,www.welchvillage.com,1965,ChIJQ0c6ZpuR94cRVQZO2yhkjbQ,44.56074,-92.73042
Yawgoo Valley Ski Area & Waterpark,RI,www.yawgoo.com,1965,ChIJR3FhCY-35YkREfairf5zJiU,41.51753,-71.52722
Angel Fire Resort,NM,www.angelfireresort.com,1966,ChIJC0BrhnFbF4cRQIh6VE1uBTs,36.38669,-105.2722
Apple Mountain,MI,www.applemountain.com,1966,ChIJ2YCO0_fPI4gRDqCa131My18,43.47101,-84.10617
Bolton Valley Resort,VT,www.boltonvalley.com,1966,ChIJ4xVMqcKatUwRvB1NjRGV5BU,44.42239,-72.85127
Diamond Peak Ski Resort,NV,www.diamondpeak.com,1966,ChIJJ663GMtxmYARl7Jf3ui-cHQ,39.25368,-119.92381
Great Bear Ski Valley,SD,www.greatbearpark.com,1966,ChIJeb7YyqC0jocR8WhbG_LSUi0,43.578,-96.66455
Jackson Hole Mountain Resort,WY,www.jacksonhole.com,1966,ChIJeWipzkIaU1MROB6YO554dn8,43.59425,-110.84372
Loon Mountain Recreation Corp.,NH,www.loonmtn.com,1966,ChIJFdzlBNeBtEwRJRWzyWWVfO8,44.05683,-71.63143
Mission Ridge Ski & Board Resort,WA,www.missionridge.com,1966,ChIJ3fffbQsvmlQRZZVbwmyCbNA,47.29247,-120.39987
Powderhorn Mountain Resort,CO,www.powderhorn.com,1966,ChIJP39Y62MuR4cRS33wxJKh1bo,39.06937,-108.15071
Sapphire Valley Ski Area,NC,www.Skisapphirevalley.com,1966,ChIJVS4pWpUEWYgR3B6Ro7AcjIc,35.12397,-83.05873
Sunlight Mountain Resort,CO,www.sunlightmtn.com,1966,ChIJfbNlFSoBQYcRTi8S5Pk39rU,39.39978,-107.33876
Villa Olivia Ski Area,IL,www.villaolivia.com,1966,ChIJr_J4k-sGD4gRg4rsAr8XKOc,42.01282,-88.22016
Waterville Valley Resort,NH,www.waterville.com,1966,ChIJVUO1NON6s0wRHiXxhgjWuCg,43.96518,-71.52791
Bear Creek Mountain Resort,PA,www.bcmountainresort.com,1967,ChIJQ_RA4p8uxIkR2IvZsX0dWGg,40.47631,-75.62558
Bear Valley Mountain,CA,www.bearvalley.com,1967,ChIJQx2CRH_9mYARW396O4zifxQ,38.49261,-120.04427
Beech Mountain Resort,NC,www.beechmountainresort.com,1967,ChIJQ4TGUyWNUIgR2hLCPRNmIs0,36.19465,-81.87801
Snowmass,CO,www.aspensnowmass.com,1967,ChIJjxt7zM1HQIcRYFVYkLuaAco,39.18952,-106.94971
Teton Pass Ski Area,MT,www.tetonpassresort.com,1967,ChIJVVVVVZKBQlMRom8Vu0-MjTE,47.92981,-112.81095
Chester Bowl,MN,www.chesterbowl.org,1968,ChIJda5zFDGtr1IRx-IG4xnTMUg,46.81353,-92.09598
Grand Geneva Resort,WI,www.grandgeneva.com,1968,ChIJLXt2OkmJBYgRb5uabXONSXQ,42.61242,-88.38614
Mt. Hood Meadows,OR,www.skihood.com,1968,ChIJLY5Ve_wJlVQR9QTsQh4lAfk,45.33176,-121.66518
Sierra-at-Tahoe,CA,www.sierraattahoe.com,1968,ChIJWzNP13CLmYAR8FM_VUU11Wg,38.80024,-120.0804
Silver Mountain Ski and Year Round Waterpark Resort!,ID,www.silvermt.com,1968,ChIJPeQe09hQYFMRRDw4JD1L57k,47.54072,-116.13317
Grand Targhee Resort,WY,www.grandtarghee.com,1969,ChIJV18CjmClU1MRZBG8zk1Or9A,43.78359,-110.9464
Proctor Ski Area,NH,www.proctornet.com,1969,ChIJ1y4NQFsE4okRhdn4MbS0MC0,43.431,-71.82605
"Ski Campgaw Management, Inc., LLC",NJ,www.Skicampgaw.com,1969,ChIJz8RBBYjhwokRHIQNs-QAfE8,41.05864,-74.19496
Ski Sawmill Family Resort,PA,www.skisawmill.com,1969,ChIJFVcnDwFKzokRNH5W3QaBPMA,41.51942,-77.28934
Ski Sundown,CT,www.skisundown.com,1969,ChIJ6U4Zinin54kRQZMsJWSiITc,41.88469,-72.9467
Sugar Mountain Resort,NC,www.skisugar.com,1969,ChIJdWuH93LtUIgRS9bpkTzjJzQ,36.13004,-81.85914
Sundance,UT,www.sundanceresort.com,1969,ChIJOwWbtaSOTYcRJxYJs-V32R8,40.39131,-111.57783
Wolf Ridge Ski Resort,NC,www.skiwolfridgenc.com,1969,ChIJd28o0S0VWogRYGZju5YTiDM,35.95473,-82.50882
Ausblick Ski Area,WI,www.ausblick.org,1970,ChIJLU1f25KsBYgRFnRov7fkAlo,43.13472,-88.26444
Campton Mountain,NH,www.camptonmountain.com,1970,ChIJXeFuMplms0wRL_iNPz5a29w,43.86822,-71.6094
Deer Mountain Ski Resort,SD,https://www.facebook.com/Deer-Mountain-Ski-Resort-,1970,ChIJq1n-TMpyUocRQi9PhFckfNg,44.30852,-103.81832
Keystone Resort,CO,www.keystoneresort.com,1970,ChIJW_aKIwJaaocRr6sP37eZJ_M,39.5817,-105.94367
"Nordic Valley Recreation, LP",UT,www.nordicvalley.com,1970,ChIJWc1FlnsKU4cRupp8KCSAfGQ,41.31036,-111.86485
Canaan Valley Resort,WV,www.canaanresort.com,1971,ChIJ__2RRojNSogRhpB30w4TSbM,39.00835,-79.43852
Cloudmont Ski,AL,www.cloudmont.com,1971,ChIJyaEdoDXTYYgRr7XQ2n4ZOrk,34.53518,-85.60311
Devil's Head Resort & Convention Center,WI,www.devilsheadresort.com,1971,ChIJk4j8Bx0UB4gRQxsj2h8yBO0,43.418,-89.6269
McIntyre Ski Area,NH,www.mcintyreskiarea.com,1971,ChIJo8JGxG1P4okREGWTtVtFSFE,43.00656,-71.44182
Mount Pleasant of Edinboro,PA,www.skimountpleasant.com,1971,ChIJ3yxRCFyKMogRyRqV_p1HKZY,41.85099,-80.07029
Quechee Ski Area,VT,www.quecheeclub.com,1971,ChIJPYle5_rMtEwR-W2eF12_bUc,43.65585,-72.44222
Royal Gorge Cross Country Ski Resort,CA,www.royalgorge.com,1971,ChIJffQhdi_om4ARJ480fiVveC8,39.31339,-120.38917
Snowbird,UT,www.snowbird.com,1971,ChIJP2yS_YVwUocRs-tKUaR3NBE,40.58108,-111.65639
49 Degree North Mountain Resort,WA,www.ski49n.com,1972,ChIJ1eQ12RRtYlMRJZGpXHthrXk,48.3011,-117.56292
Copper Mountain Resort,CO,www.coppercolorado.com,1972,ChIJ-13IpvhfaocRgbaNRB42dws,39.47901,-106.16129
Eastman  Cross Country,NH,www.eastmannh.org/ski,1972,ChIJnaQchVaIs0wRtuhyFagBAfo,44.25447,-71.437970000000007
Jack Frost Mountain,PA,www.jfbb.com,1972,ChIJY0I0LiX8xIkRPmm_iPPVEsQ,41.11001,-75.65123
Kirkwood Mountain Resort,CA,www.kirkwood.com,1972,ChIJyw_jRk3xmYARn-W118rvXYs,38.68475,-120.06517
Northstar California,CA,www.northstarcalifornia.com,1972,ChIJG_MAHWlimYARQhbFNZ29CPE,39.26466,-120.13319
Powder Mountain,UT,www.powdermountain.com,1972,ChIJhZdzk1yfU4cRJqu8U9Y8ROw,41.37896,-111.78068
Sunrise Park Resort,AZ,www.sunriseskiparkaz.com,1972,ChIJ_V3Ad8cYJocRORCx76yfhDc,33.97373,-109.56423
Tahoe Donner Ski Resort,CA,www.skitahoedonner.com,1972,ChIJl3Y6cC7nm4ARfuqsou88sT4,39.35518,-120.25903
Telluride Ski & Golf Resort,CO,www.tellurideskiresort.com,1972,ChIJn0u5JP3XPocRazD8zAjmAp0,37.91667,-107.83748
Wild Mountain,MN,www.wildmountain.com,1972,ChIJhakxztWOslIRuo0cOtjqNRs,45.48884,-92.70531
Big Sky Resort,MT,www.bigskyresort.com,1973,ChIJ8wF9ECsMUFMRdCp4xP-nHoo,45.27778,-111.41033
Bretton Woods Ski Area,NH,www.brettonwoods.com,1973,ChIJL0jakzWIs0wRRZw8v-FPqxE,44.25926,-71.46024
Discovery Ski Area,MT,www.skidiscovery.com,1973,ChIJe2dlrM2QW1MRgQ5Nd65iYJM,46.2496,-113.23843
Massanutten Resort,VA,www.massresort.com,1973,ChIJk0sNQhyLtIkRiVYdJN9J6HI,38.40675,-78.71586
Mt. Eyak Ski Area,AK,www.mteyak.org,1974,ChIJu63TDt0Yt1YRvOXb8KLYq5k,60.55,-145.74999
Pocono Ranch Lands Property Owners,PA,www.poconoranchlands.com,1974,ChIJWdUahEthw4kR0FvU6z7kczc,41.16557,-74.95507
Snowshoe,WV,www.snowshoemtn.com,1974,ChIJnVLRrblwS4gR-C3fu8CVKo0,38.40297,-79.99388
Spirit Mountain Recreation Area,MN,www.spiritmt.com,1974,ChIJ-TYDimdJrlIRgR66F005FDA,46.71827,-92.21674
Sundown Mountain Ski and Snowboard Resort,IA,www.sundownmtn.com,1974,ChIJG_HX-Xoz44cRj63ynYPDrvo,42.51633,-90.81863
Eaglecrest Ski Area,AK,www.skieaglecrest.com,1975,ChIJh46iQhX7AFQRjrrx4MqXO6g,58.27453,-134.51282
Mount Lakeridge Ski & Board Center,CT,http://lakeridgect.com/skiing,1975,ChIJzbvW9sOf54kRHBKQyPl8hec,41.87385,-73.10069
Shawnee Mountain Ski Area,PA,www.shawneemt.com,1975,ChIJ1y_jcBaExIkRq2Iwc8aKqWs,41.03967,-75.0853
Wintergreen Resort,VA,www.wintergreenresort.com,1975,ChIJYSNgOCRps4kRcde6mhbDY2c,37.91485,-78.94388
Alta Sierra Ski Resort & Terrain Park,CA,www.altasierra.com,1976,ChIJzQBvb2rTwYARA6a-L84m7FI,35.71131,-118.56026
Christie Mountain Snow Area,WI,www.christiemountain.com,1976,ChIJOSq_RPuFrFIRGcFHu_NTBMI,45.50909,-91.38082
Frost Fire Park,ND,www.frostfireskiarea.com,1976,ChIJbeqrNnu6w1IRcIMx7rB9laE,48.91199,-98.06874
Ski Big Bear at Masthope Mountain,PA,www.ski-bigbear.com,1976,ChIJSRUZuOqrxIkRxuC6qWVCUME,41.52326,-75.02506
Blue Mountain Resort,PA,www.skibluemt.com,1977,ChIJgQ_bumVFxIkRQgl7Vng8W4Y,40.81073,-75.52086
Mount Kato Ski Area,MN,www.mountkato.com,1977,ChIJa_NvC_w49IcRetDtkUG8Cqc,44.13313,-94.03337
"Paoli Peaks, Inc.",IN,www.paolipeaks.com,1978,ChIJrWRDhyahbogRzpm8bG0R1Ew,38.55559,-86.51223
Beaver Creek Resort,CO,www.beavercreek.com,1980,ChIJLUeXah54aocRLCubAYD6EBI,39.60165,-106.53161
Bluewood Ski Area,WA,www.bluewood.com,1980,ChIJB4B2PQP4oVQRnQC3XaIDJ24,46.08247,-117.85111
Kissing Bridge Corp.,NY,www.kbski.com,1980,ChIJs9thsquq04kR8r5visSNBF0,42.59984,-78.65244
"Andes Tower Hills, Inc.",MN,www.andestowerhills.com,1981,ChIJX6DS-S08ylIRncPCyc6EUw0,45.85098,-95.6305
Deer Valley Resort,UT,www.deervalley.com,1981,ChIJq1n-TMpyUocRQi9PhFckfNg,40.62261,-111.48509
Perfect North Slopes,IN,www.perfectnorth.com,1981,ChIJ3-FGn0fUQYgR44dm92UDQHo,39.15089,-84.88582
Ski Snowstar Winter Sports Park,IL,www.skisnowstar.com,1981,ChIJmyDUHw7Q44cRl3JahuRkqm0,41.4252,-90.74617
The Villas at Tree Tops and Fairway White Lightning Snow Tubing,PA,www.fernwoodresortpoconos.com,1981,ChIJ1y_jcBaExIkRq2Iwc8aKqWs,41.07792,-75.02513
Tussey Mountain Ski Area,PA,www.tusseymountain.com,1981,ChIJ4RyT6t6vzokRwhycsjVIisA,40.7692,-77.75393
Granby Ranch,CO,https://granbyranch.com/,1982,ChIJTdZHTFsuaocRkKI5V1HN_hE,40.04465,-105.90633
Hidden Valley Ski Area,MO,www.hiddenvalleyski.com,1982,ChIJV5Cn8QMp2YcRNzY4gtoO4OM,38.53532,-90.65069
Triple M-Mystical Mountain,NM,www.triplemsnowplay.com,1982,ChIJLWL7wlvR4YYRkAxqeqx4Ma0,33.39879,-105.68599
Hilltop Ski Area,AK,www.hilltopskiarea.org,1983,ChIJC4fae7CQyFYR4eYTALfVYdY,61.14085,-149.74496
The Homestead,MI,www.thehomesteadresort.com,1983,ChIJ49sjWSuRTIgRxOPHqI6dDJQ,44.91343,-85.9642
Timberline Mountain,WV,www.timberlinemountain.com,1983,ChIJs1QqTIDLSogR40KwQUFwyZE,39.04245,-79.39903
Winterplace Ski Resort,WV,www.winterplace.com,1983,ChIJsxkFCLRhTogRKgbp4t0hm2I,37.60076,-81.12278
Giants Ridge,MN,www.giantsridge.com,1984,ChIJt-ICcCtmpVIRmm-9hcfOkck,47.57652,-92.30317
Montage Mountain,PA,www.montagemountainresorts.com,1984,ChIJw77JqzbexIkRMUjdoQyPEKE,41.35124,-75.66292
Mt. Shasta Ski Park,CA,www.skipark.com,1985,ChIJJblKj6ndzVQRhWkh2j_as9Q,41.32111,-122.2035
Nordic Mountain,WI,https://www.nordicmountain.com/,1987,ChIJ_5LkMXEWAYgRGFNdVna4NOA,44.12146,-89.18128
Snow Creek Ski Area,MO,www.skisnowcreek.com,1987,ChIJVfqYrf9zwIcRQFd2IjVpk5Y,39.4673,-94.97074
The Rock Snowpark,WI,https://www.rocksnowpark.com/,1987,ChIJD_4Yyf4NBYgRwLIybqu_RPY,42.91992,-88.0158
Huff Hills Ski Area,ND,www.huffhills.com,1991,ChIJK4Q6QVGv11IRiJtWqg8vRwc,46.62742,-100.72321
Whitetail Resort,PA,www.skiwhitetail.com,1991,ChIJq97bPZ8gyokRe_rUoQ0ctTw,39.74177,-77.93331
Utah Olympic Park,UT,www.utaholympiclegacy.org,1993,ChIJv0kuJgVsUocRhFXwW7C7DYs,40.71173,-111.56186
Eagle Rock Ski Area,PA,www.eaglerockresort.com,1997,ChIJWbVg8lLaSocRaKpOgcDfBsw,40.92371,-76.1045
Seven Oaks Recreation,IA,www.sevenoaksrec.com,1997,ChIJ2VmoEqLF7YcRRayOOI2iakM,42.0307,-93.95338
"Sleepy Hollow Sports Park, Inc.",IA,www.shspdm.com,1997,ChIJ9X6N_viW7ocRPvrfvDfDOgc,41.58924,-93.53338
Yellowstone Mountain Club,MT,www.yellowstoneclub.com,1997,ChIJ67mfOKYaUFMRismCNDQ9D6I,45.2458,-111.37453
Blacktail Mountain Ski Area,MT,www.blacktailmountain.com,1998,ChIJpezpDKOrZ1MRmeI16eTOBSQ,48.01484,-114.36957
Double H Ranch,NY,www.doublehranch.org,1998,ChIJHwuAUonI34kRntglZK4KFJE,43.37571,-73.78949
Mount Bohemia,MI,www.mtbohemia.com,2000,ChIJHxtYlI-AUE0R_R_4LdJvCXA,47.38799,-88.02112
Plymouth Notch,VT,www.skithenotch.com,2001,ChIJRbj7D54y4IkREFe5g-HqYaM,43.53035,-72.73856
Silverton Mountain,CO,www.silvertonmountain.com,2001,ChIJNy2Vq0znPocRoNKdXqdoKQs,37.88461,-107.66592
Crotched Mountain Ski & Ride,NH,www.crotchedmtn.com,2003,ChIJCRctFOcr4okRBcF00w3Q6eA,43.01201,-71.87887
Granite Gorge Ski Area,NH,www.granitegorge.com,2003,ChIJJ058vEN24YkRrwyDJLqKO1k,42.97098,-72.21204
Tamarack Resort,ID,www.tamarackidaho.com,2004,ChIJITQobPMMloARg1yJlqcA3gs,44.6726,-116.11587
Echo Mountain,CO,www.echomntn.com,2005,ChIJzbHHtRWka4cRHVvJYLPxXG0,39.68458,-105.51939
Liberty Mountain Snowflex Centre,VA,www.liberty.edu/snowflex,2009,ChIJZRlhSvbasokRj57UkAsTq8Q,37.35279,-79.16671
Eagle Point Resort,UT,www.eaglepointresort.com,2010,ChIJWbVg8lLaSocRaKpOgcDfBsw,38.32032,-112.38386
Frisco Adventure Park,CO,www.townoffrisco.com,2011,ChIJpw9L_bleaocRiG8yQhfXrAc,39.57411,-106.07766
Cherry Peak Resort,UT,www.skicpr.com,2015,ChIJs78Fw7VmVIcRzANEdcnJq1g,41.92635,-111.75641
Gateway Hills Snow Park,NH,www.gatewayhillssnowpark.com,2016,ChIJ3a1vUiCrr1QRLCtv2VHJgV8,42.71472,-71.45277
Bluebird Backcountry,CO,www.bluebirdbackcountry.com,2018,ChIJT-4LBaMRUFMRGqtEgD55h9w,40.3666,-106.53585
Big SNOW American Dream,NJ,https://www.bigsnowamericandream.com/,2019,ChIJpwurocz5wokRmXKGrhZRf8E,40.8095,-74.07114
Woodward Park City,UT,woodwardparkcity.com,2019,ChIJGczoMnZpUocRpYHSi5OOSHk,40.75451,-111.58564
Hatcher Alpine Xperience dba Skeetawk Ski Area,AK,www.skeetawk.com,2020,ChIJWfRALzgiyVYRtRqODdXFCBE,61.74371,-149.23397
The Balsams Resort,NH,www.thebalsamsresort.com,2020,ChIJ34XkrYUJSk0RP75sqelZvuM,45.86873,-84.79784
Hoedown Hill,CO,https://raindanceresort.com/hoedown-hill/,2023,ChIJxYD3uiyvbocR4m_HaqKPlPk,40.45207,-104.93132
Thrill Hills,ND,www.skithrillhills.com,2023,ChIJvxFQ6_U1zlIROBF_iMXhHOw,46.53203,-97.9356
